sep=\t
Module Resource Usage Distribution Estimates
Generated at: Aug 25, 2026 22:42:28

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
  +pe_gen[65].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[66].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   12(12)	     0(0)	     0(0)	     1(1)	
  +pe_gen[67].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[68].pe_inst:pe                                 	    15(15)	     0(0)	     0(0)	     7(7)	     0(0)	     0(0)	     1(1)	
  +pe_gen[69].pe_inst:pe                                 	      9(9)	     0(0)	     0(0)	     4(4)	     0(0)	     0(0)	     1(1)	
  +pe_gen[70].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[71].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[72].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   12(12)	     0(0)	     0(0)	     1(1)	
  +pe_gen[73].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[74].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[75].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[76].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   12(12)	     0(0)	     0(0)	     1(1)	
  +pe_gen[77].pe_inst:pe                                 	    15(15)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[78].pe_inst:pe                                 	    12(12)	     0(0)	     0(0)	     7(7)	     0(0)	     0(0)	     1(1)	
  +pe_gen[79].pe_inst:pe                                 	      6(6)	     0(0)	     0(0)	     4(4)	     0(0)	     0(0)	     1(1)	
  +pe_gen[80].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[81].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[82].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[83].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     6(6)	     0(0)	     0(0)	     1(1)	
  +pe_gen[84].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[85].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[86].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[87].pe_inst:pe                                 	    12(12)	     0(0)	     0(0)	     5(5)	     0(0)	     0(0)	     1(1)	
  +pe_gen[88].pe_inst:pe                                 	      6(6)	     0(0)	     0(0)	     2(2)	     0(0)	     0(0)	     1(1)	
  +pe_gen[89].pe_inst:pe                                 	      6(6)	     0(0)	     0(0)	     1(1)	     0(0)	     0(0)	     1(1)	
  +pe_gen[90].pe_inst:pe                                 	    15(15)	     0(0)	     0(0)	     3(3)	     0(0)	     0(0)	     1(1)	
  +pe_gen[91].pe_inst:pe                                 	    15(15)	     0(0)	     0(0)	     5(5)	     0(0)	     0(0)	     1(1)	
  +pe_gen[92].pe_inst:pe                                 	    15(15)	     0(0)	     0(0)	     6(6)	     0(0)	     0(0)	     1(1)	
  +pe_gen[93].pe_inst:pe                                 	      9(9)	     0(0)	     0(0)	     2(2)	     0(0)	     0(0)	     1(1)	
  +pe_gen[94].pe_inst:pe                                 	      9(9)	     0(0)	     0(0)	     4(4)	     0(0)	     0(0)	     1(1)	
  +pe_gen[95].pe_inst:pe                                 	      9(9)	     0(0)	     0(0)	     3(3)	     0(0)	     0(0)	     1(1)	
  +pe_gen[96].pe_inst:pe                                 	      9(9)	     0(0)	     0(0)	     4(4)	     0(0)	     0(0)	     1(1)	
  +pe_gen[97].pe_inst:pe                                 	      6(6)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     1(1)	
  +pe_gen[98].pe_inst:pe                                 	      0(0)	     0(0)	     0(0)	     2(2)	     0(0)	     0(0)	     1(1)	
  +pe_gen[99].pe_inst:pe                                 	      0(0)	     0(0)	     0(0)	     2(2)	     0(0)	     0(0)	     1(1)	
